product_id,product_name,category,price
1,Smartphone 1,Electronics,51695.0
2,Laptop 2,Electronics,3463.34
3,Wireless Headphones 3,Electronics,23089.8
4,Smartwatch 4,Electronics,19022.04
5,Tablet 5,Electronics,59312.99
6,Digital Camera 6,Electronics,54620.91
7,Mechanical Keyboard 7,Electronics,71536.1
8,Wireless Mouse 8,Electronics,8324.7
9,Computer Monitor 9,Electronics,34620.86
10,Bluetooth Speaker 10,Electronics,3839.08
11,Cotton T-Shirt 11,Fashion,1983.51
12,Slim Fit Jeans 12,Fashion,4191.24
13,Casual Jacket 13,Fashion,504.33
14,Running Sneakers 14,Fashion,1831.05
15,Pullover Hoodie 15,Fashion,5304.11
16,Travel Backpack 16,Fashion,4496.05
17,Wrist Watch 17,Fashion,1997.39
18,Sunglasses 18,Fashion,4837.35
19,Casual Shoes 19,Fashion,6532.61
20,Baseball Cap 20,Fashion,350.04
21,Python Programming Book 21,Books,2063.09
22,Data Science Book 22,Books,1820.81
23,Machine Learning Book 23,Books,1015.56
24,AI Fundamentals Book 24,Books,599.83
25,Database Systems Book 25,Books,2403.73
26,Operating Systems Book 26,Books,1007.34
27,Computer Networks Book 27,Books,458.68
28,Java Programming Book 28,Books,467.61
29,Algorithms Book 29,Books,2156.86
30,Cloud Computing Book 30,Books,1608.38
31,Table Lamp 31,Home,9743.4
32,Ergonomic Office Chair 32,Home,8837.86
33,Cotton Bed Sheet 33,Home,6573.87
34,Window Curtains 34,Home,11685.45
35,Wall Clock 35,Home,4728.85
36,Storage Organizer 36,Home,6758.88
37,Decorative Cushion 37,Home,10004.03
38,Desk Organizer 38,Home,7536.68
39,Steel Water Bottle 39,Home,10381.97
40,Home Decor Set 40,Home,7055.02
41,Football 41,Sports,7163.89
42,Cricket Bat 42,Sports,839.91
43,Badminton Racket 43,Sports,2587.82
44,Tennis Ball Set 44,Sports,3178.12
45,Gym Gloves 45,Sports,1166.0
46,Yoga Mat 46,Sports,2634.79
47,Skipping Rope 47,Sports,1369.61
48,Sports Shoes 48,Sports,3068.55
49,Adjustable Dumbbells 49,Sports,6502.57
50,Fitness Band 50,Sports,3902.39
51,Face Wash 51,Beauty,1976.87
52,Moisturizer 52,Beauty,1205.63
53,Shampoo 53,Beauty,1481.49
54,Perfume 54,Beauty,4695.94
55,Sunscreen 55,Beauty,3310.57
56,Lip Balm 56,Beauty,3123.83
57,Hair Oil 57,Beauty,1021.47
58,Body Lotion 58,Beauty,3699.81
59,Face Cream 59,Beauty,984.33
60,Beauty Care Kit 60,Beauty,2021.39
61,Smartphone 61,Electronics,79177.58
62,Laptop 62,Electronics,51739.98
63,Wireless Headphones 63,Electronics,45220.55
64,Smartwatch 64,Electronics,55242.22
65,Tablet 65,Electronics,67663.88
66,Digital Camera 66,Electronics,62415.99
67,Mechanical Keyboard 67,Electronics,19480.27
68,Wireless Mouse 68,Electronics,4019.87
69,Computer Monitor 69,Electronics,26263.06
70,Bluetooth Speaker 70,Electronics,22517.66
71,Cotton T-Shirt 71,Fashion,1924.57
72,Slim Fit Jeans 72,Fashion,7560.4
73,Casual Jacket 73,Fashion,7048.03
74,Running Sneakers 74,Fashion,2723.02
75,Pullover Hoodie 75,Fashion,5346.88
76,Travel Backpack 76,Fashion,3346.37
77,Wrist Watch 77,Fashion,7342.02
78,Sunglasses 78,Fashion,3833.16
79,Casual Shoes 79,Fashion,2339.58
80,Baseball Cap 80,Fashion,2199.03
81,Python Programming Book 81,Books,1513.08
82,Data Science Book 82,Books,841.17
83,Machine Learning Book 83,Books,1565.32
84,AI Fundamentals Book 84,Books,2270.1
85,Database Systems Book 85,Books,1148.65
86,Operating Systems Book 86,Books,743.47
87,Computer Networks Book 87,Books,2494.46
88,Java Programming Book 88,Books,1396.43
89,Algorithms Book 89,Books,454.55
90,Cloud Computing Book 90,Books,356.01
91,Table Lamp 91,Home,1582.89
92,Ergonomic Office Chair 92,Home,7641.12
93,Cotton Bed Sheet 93,Home,9567.33
94,Window Curtains 94,Home,5239.27
95,Wall Clock 95,Home,1043.27
96,Storage Organizer 96,Home,4764.95
97,Decorative Cushion 97,Home,11954.62
98,Desk Organizer 98,Home,6490.64
99,Steel Water Bottle 99,Home,11661.62
100,Home Decor Set 100,Home,10371.12
101,Football 101,Sports,510.22
102,Cricket Bat 102,Sports,7318.93
103,Badminton Racket 103,Sports,6944.42
104,Tennis Ball Set 104,Sports,5554.92
105,Gym Gloves 105,Sports,2961.52
106,Yoga Mat 106,Sports,6553.23
107,Skipping Rope 107,Sports,1470.9
108,Sports Shoes 108,Sports,4573.75
109,Adjustable Dumbbells 109,Sports,4755.75
110,Fitness Band 110,Sports,9556.63
111,Face Wash 111,Beauty,4404.09
112,Moisturizer 112,Beauty,1464.27
113,Shampoo 113,Beauty,2602.81
114,Perfume 114,Beauty,1057.53
115,Sunscreen 115,Beauty,4580.61
116,Lip Balm 116,Beauty,4378.49
117,Hair Oil 117,Beauty,1632.53
118,Body Lotion 118,Beauty,3266.96
119,Face Cream 119,Beauty,3123.06
120,Beauty Care Kit 120,Beauty,933.63
121,Smartphone 121,Electronics,61357.1
122,Laptop 122,Electronics,43841.25
123,Wireless Headphones 123,Electronics,62622.18
124,Smartwatch 124,Electronics,43132.76
125,Tablet 125,Electronics,1544.89
126,Digital Camera 126,Electronics,26946.25
127,Mechanical Keyboard 127,Electronics,3028.92
128,Wireless Mouse 128,Electronics,74434.24
129,Computer Monitor 129,Electronics,70479.67
130,Bluetooth Speaker 130,Electronics,66785.74
131,Cotton T-Shirt 131,Fashion,2667.86
132,Slim Fit Jeans 132,Fashion,746.02
133,Casual Jacket 133,Fashion,7060.67
134,Running Sneakers 134,Fashion,7591.51
135,Pullover Hoodie 135,Fashion,959.53
136,Travel Backpack 136,Fashion,4042.13
137,Wrist Watch 137,Fashion,832.94
138,Sunglasses 138,Fashion,6156.64
139,Casual Shoes 139,Fashion,6196.93
140,Baseball Cap 140,Fashion,1288.61
141,Python Programming Book 141,Books,1319.39
142,Data Science Book 142,Books,1487.06
143,Machine Learning Book 143,Books,846.38
144,AI Fundamentals Book 144,Books,2212.97
145,Database Systems Book 145,Books,1202.06
146,Operating Systems Book 146,Books,726.55
